file,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,mean_turning,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,id,date,time,magnification,tube_id,measure_point,community
sample_0301,226.079833333333,5.05965761560795,31182.2785939394,2771.14297028658,788.313823030303,25.2872962032937,305.709401212121,17.4953050006282,129.814264242424,8.20216715343827,2.36474242424242,0.205695541300622,0.0,0.05,4.4,66,2259.46,2259,513.51,2274.31,516.89,45.32,21.72,3.9,58.45,679.81,325.87,sample_0301-10,2019-03-20,18,1,301,1,Ble
sample_0301,164.545892857143,4.3958576826227,3967.28685714286,847.398139552868,296.240834285714,54.7751476115642,106.565897142857,18.9284753551638,46.3634742857143,7.42120659513863,2.28910714285714,0.271057372536423,-0.01,0.41,1.86666666666667,28,844.82,845,452.58,897.76,480.94,43.55,22.49,5.75,86.27,653.25,337.37,sample_0301-108,2019-03-20,18,1,301,1,Ble
sample_0301,147.917,9.22920954361748,312.534109090909,172.093291661572,73.8333090909091,27.9246185025735,27.5142109090909,6.21428366268785,13.6822109090909,4.43929714469634,2.09190909090909,0.377596465699946,-0.04,0.38,1.4,11,604.38,604,431.7,618.14,441.53,90.13,29.86,20.82,134.37,727.95,290.27,sample_0301-109,2019-03-20,18,1,301,1,Ble
sample_0301,226.949166666667,3.81842708370532,20626.371047619,7896.2339167062,645.781264761905,200.80312658464,226.155443809524,67.7776803350161,108.528072380952,29.2682583665523,2.08410714285714,0.338857115918503,0.06,0.39,5.6,84,1497.0,1497,267.32,1888.64,337.26,147.83,1.35,17.85,267.81,2217.5,20.27,sample_0301-112,2019-03-20,18,1,301,1,Ble
sample_0301,233.246266666667,2.41678019175061,31909.39648,3547.2943351689,938.207232,142.984031044368,271.594005333333,35.1377010951139,150.353130666667,10.7518383422314,1.82406666666667,0.317832270829997,-0.02,0.08,1.13333333333333,15,546.62,547,482.31,552.01,487.07,95.06,13.74,21.15,207.81,1010.28,206.15,sample_0301-116,2019-03-20,18,1,301,1,Ble
sample_0301,232.16992,3.61119758439129,23851.2141653333,6970.69691147528,710.011456,142.713517178751,258.1636096,51.6864770942643,115.660164266667,18.250059705182,2.24585333333333,0.38988916281333,0.01,0.31,5.0,75,760.39,760,152.08,1623.38,324.68,56.46,9.64,10.31,154.59,846.9,144.61,sample_0301-12,2019-03-20,18,1,301,1,Ble
sample_0301,229.571125,2.01685778164045,34738.5142857143,2069.77620533508,775.90528,16.8678063403409,289.666942857143,11.2562591217027,152.699091428571,7.28025658682975,1.9015,0.119859311467464,-0.01,0.06,3.73333333333333,56,1704.72,1705,456.62,1729.36,463.22,42.71,23.48,3.69,55.38,640.67,352.16,sample_0301-129,2019-03-20,18,1,301,1,Ble
sample_0301,222.499391304348,14.6051309301876,18380.336973913,7109.99655837374,655.076911304348,211.634489613756,224.905676521739,74.8466121835765,99.0716173913043,30.5073377907806,2.3344347826087,0.735315039124922,-0.06,0.54,3.13333333333333,46,506.8,377,120.43,846.2,270.06,122.04,3.21,21.84,274.52,1830.59,48.12,sample_0301-13,2019-03-20,18,1,301,1,Ble
sample_0301,172.175,5.73201964179407,4476.08047659575,1683.737873444,311.383319148936,74.0410387621452,111.622461276596,32.2342465864052,49.0496885106383,8.49231983065184,2.24423404255319,0.439976739146315,0.0,0.36,3.13333333333333,47,1133.36,1133,361.71,1251.61,399.45,107.5,5.44,15.63,234.48,1612.49,81.58,sample_0301-133,2019-03-20,18,1,301,1,Ble
sample_0301,213.04397979798,7.11098979014216,19904.7261090909,3302.37182531899,618.098511515152,79.9383004160729,244.837116767677,34.0646088243518,102.384497777778,10.1603447625745,2.38440404040404,0.235727701747723,0.0,0.04,6.6,99,3093.1,3093,468.65,3102.48,470.07,39.72,14.86,4.04,60.54,595.77,222.83,sample_0301-15,2019-03-20,18,1,301,1,Ble
sample_0301,222.47802,26.8710785755972,16565.383168,9836.98016003028,574.5900352,222.011745129072,203.6178624,77.8328816664092,89.75904,39.2241916871331,2.35646,0.473305536646687,-0.05,0.66,3.46666666666667,50,504.11,437,125.92,1055.31,304.42,122.11,5.94,21.29,260.21,1831.71,89.09,sample_0301-154,2019-03-20,18,1,301,1,Ble
sample_0301,233.44625,6.16614180726599,22709.8729411765,8470.88404350044,692.725962352941,207.203068339677,211.088569411765,51.4213561043277,131.819496470588,32.090521738767,1.66204411764706,0.449935200436404,0.06,0.56,4.53333333333333,68,740.05,740,163.25,1429.9,315.42,54.44,2.33,10.67,159.98,816.53,34.99,sample_0301-160,2019-03-20,18,1,301,1,Ble
sample_0301,144.492054054054,4.57224521157547,4353.04337297297,1127.33733872855,323.212471351351,64.6312424521015,106.233868108108,22.5144211593564,50.767507027027,8.74570533435598,2.08167567567568,0.300651057803824,0.04,0.38,2.66666666666667,37,836.41,836,313.65,921.37,345.51,107.45,12.4,14.74,79.36,537.23,185.94,sample_0301-173,2019-03-20,18,1,301,1,Ble
